step,sat1_reward,sat2_reward,sat1_cumulative_reward,sat2_cumulative_reward
1,-0.0022,-0.0022,-0.0022,-0.0022
2,-0.0022,-0.0022,-0.0045,-0.0045
3,-0.0022,-0.0022,-0.0067,-0.0067
4,-0.0022,-0.0022,-0.0089,-0.0089
5,-0.0022,-0.0022,-0.0112,-0.0112
6,-0.0022,-0.0022,-0.0134,-0.0134
7,-0.0022,-0.0022,-0.0156,-0.0156
8,-0.0022,-0.0022,-0.0179,-0.0179
9,-0.0042,-0.0042,-0.0221,-0.0221
10,-0.0042,-0.0042,-0.0264,-0.0264
11,-0.0042,-0.0042,-0.0306,-0.0306
12,-0.0042,-0.0042,-0.0348,-0.0348
13,-0.0042,-0.0042,-0.0391,-0.0391
14,-0.0042,-0.0042,-0.0433,-0.0433
15,-0.0042,-0.0042,-0.0476,-0.0476
16,-0.0042,-0.0042,-0.0518,-0.0518
17,-0.0042,-0.0042,-0.0560,-0.0560
18,-0.0084,-0.0084,-0.0644,-0.0644
19,-0.0084,-0.0084,-0.0728,-0.0728
20,-0.0084,-0.0084,-0.0811,-0.0811
21,-0.0084,-0.0084,-0.0895,-0.0895
22,-0.0084,-0.0084,-0.0979,-0.0979
23,-0.0084,-0.0084,-0.1062,-0.1062
24,-0.0084,-0.0084,-0.1146,-0.1146
25,-0.0012,-0.0072,-0.1158,-0.1218
26,-0.0084,-0.0144,-0.1241,-0.1361
27,-0.0156,-0.0216,-0.1397,-0.1577
28,-0.0217,-0.0277,-0.1614,-0.1854
29,-0.0217,-0.0277,-0.1831,-0.2131
30,-0.0217,-0.0277,-0.2048,-0.2408
31,-0.0217,-0.0277,-0.2265,-0.2685
32,-0.0217,-0.0277,-0.2482,-0.2962
33,-0.0217,-0.0277,-0.2699,-0.3239
34,-0.0217,-0.0277,-0.2917,-0.3517
35,-0.0217,-0.0277,-0.3134,-0.3794
36,-0.0217,-0.0277,-0.3351,-0.4071
37,-0.0217,-0.0277,-0.3568,-0.4348
38,-0.0217,-0.0277,-0.3785,-0.4625
39,-0.0217,-0.0277,-0.4002,-0.4902
40,-0.0217,-0.0277,-0.4219,-0.5179
41,-0.0217,-0.0277,-0.4436,-0.5456
42,-0.0217,-0.0277,-0.4653,-0.5733
43,-0.0217,-0.0277,-0.4871,-0.6011
44,-0.0182,-0.0242,-0.5052,-0.6252
45,-0.0217,-0.0277,-0.5269,-0.6529
46,-0.0251,-0.0061,-0.5520,-0.6590
47,-0.0001,-0.0061,-0.5521,-0.6651
48,-0.0521,-0.0331,-0.6042,-0.6982
49,0.0019,0.0019,-0.6023,-0.6963
50,-0.0323,-0.0133,-0.6346,-0.7096
51,-0.0160,-0.0160,-0.6506,-0.7256
52,-0.0184,-0.0184,-0.6689,-0.7439
53,-0.0115,-0.0115,-0.6804,-0.7554
54,-0.0061,-0.0061,-0.6865,-0.7615
55,-0.0061,-0.0061,-0.6926,-0.7676
56,-0.0061,-0.0061,-0.6987,-0.7737
57,-0.0061,-0.0061,-0.7048,-0.7798
58,-0.0061,-0.0061,-0.7109,-0.7859
59,-0.0061,-0.0061,-0.7170,-0.7920
60,-0.0061,-0.0061,-0.7230,-0.7980
61,-0.0061,-0.0061,-0.7291,-0.8041
62,-0.0061,-0.0061,-0.7352,-0.8102
63,-0.0061,-0.0061,-0.7413,-0.8163
64,-0.0061,-0.0061,-0.7474,-0.8224
65,-0.0061,-0.0061,-0.7535,-0.8285
66,-0.0061,-0.0061,-0.7596,-0.8346
67,-0.0061,-0.0061,-0.7657,-0.8407
68,-0.0061,-0.0061,-0.7718,-0.8468
69,-0.0251,-0.0061,-0.7969,-0.8529
70,-0.0251,-0.0061,-0.8219,-0.8589
71,-0.0251,-0.0061,-0.8470,-0.8650
72,-0.0251,-0.0061,-0.8721,-0.8711
73,-0.0251,-0.0061,-0.8972,-0.8772
74,-0.0251,-0.0061,-0.9223,-0.8833
75,-0.0251,-0.0061,-0.9474,-0.8894
76,-0.0251,-0.0061,-0.9725,-0.8955
77,-0.0251,-0.0061,-0.9976,-0.9016
78,-0.0251,-0.0061,-1.0227,-0.9077
79,-0.0251,-0.0061,-1.0478,-0.9138
80,-0.0251,-0.0061,-1.0728,-0.9198
81,-0.0251,-0.0061,-1.0979,-0.9259
82,-0.0251,-0.0061,-1.1230,-0.9320
83,-0.0251,-0.0061,-1.1481,-0.9381
84,-0.0251,-0.0061,-1.1732,-0.9442
85,-0.0251,-0.0061,-1.1983,-0.9503
86,-0.0251,-0.0061,-1.2234,-0.9564
87,-0.0251,-0.0061,-1.2485,-0.9625
88,-0.0251,-0.0061,-1.2736,-0.9686
89,-0.0251,-0.0061,-1.2987,-0.9747
90,-0.0251,-0.0061,-1.3237,-0.9807
91,-0.0251,-0.0061,-1.3488,-0.9868
92,-0.0251,-0.0061,-1.3739,-0.9929
93,-0.0251,-0.0061,-1.3990,-0.9990
94,-0.0251,-0.0061,-1.4241,-1.0051
95,-0.0251,-0.0061,-1.4492,-1.0112
96,-0.0244,-0.0054,-1.4736,-1.0166
97,-0.0251,-0.0061,-1.4987,-1.0227
98,-0.0251,-0.0061,-1.5237,-1.0287
99,-0.0251,-0.0061,-1.5488,-1.0348
100,-0.0061,-0.0061,-1.5549,-1.0409
101,-0.0061,-0.0061,-1.5610,-1.0470
102,-0.0061,-0.0061,-1.5671,-1.0531
103,-0.0061,-0.0061,-1.5732,-1.0592
104,0.0209,0.0019,-1.5523,-1.0573
105,0.0137,0.0137,-1.5386,-1.0436
106,0.0065,0.0065,-1.5321,-1.0371
107,-0.0007,-0.0007,-1.5328,-1.0378
108,0.0263,0.0073,-1.5064,-1.0304
109,0.0293,0.0293,-1.4771,-1.0011
110,0.0293,0.0293,-1.4478,-0.9718
111,0.0293,0.0293,-1.4185,-0.9425
112,0.0293,0.0353,-1.3892,-0.9072
113,0.0293,0.0353,-1.3599,-0.8719
114,0.0293,0.0353,-1.3306,-0.8366
115,0.0293,0.0353,-1.3013,-0.8013
116,0.0293,0.0353,-1.2720,-0.7660
117,0.0293,0.0353,-1.2427,-0.7307
118,0.0293,0.0353,-1.2134,-0.6954
119,0.0293,0.0353,-1.1840,-0.6600
120,0.0264,0.0324,-1.1576,-0.6276
121,0.0324,0.0324,-1.1252,-0.5952
122,0.0324,0.0324,-1.0928,-0.5628
123,0.0324,0.0324,-1.0604,-0.5304
124,0.0324,0.0324,-1.0280,-0.4980
125,0.0324,0.0324,-0.9956,-0.4656
126,0.0324,0.0324,-0.9632,-0.4332
127,0.0281,0.0281,-0.9352,-0.4052
128,0.0281,0.0281,-0.9071,-0.3771
129,0.0281,0.0281,-0.8791,-0.3491
130,0.0281,0.0281,-0.8510,-0.3210
131,0.0281,0.0281,-0.8229,-0.2929
132,0.0281,0.0281,-0.7949,-0.2649
133,0.0281,0.0281,-0.7668,-0.2368
