cycle,steps_completed,sat1_reward_mean,sat2_reward_mean,sat1_V_estimate,sat2_V_estimate
1,5000,19.6273,17.2774,6.5857,8.2037
2,10000,18.9915,20.1654,5.3226,6.8211
3,15000,20.3967,21.9753,5.0714,7.2183
4,20000,19.4599,22.8773,3.8402,7.7794
5,25000,20.2277,21.7223,5.7451,6.4926
6,30000,22.5857,21.9957,8.7955,6.9540
7,35000,22.7747,22.0282,6.8554,5.5219
8,40000,22.8679,21.3126,6.8497,6.8394
9,45000,23.4166,21.5490,7.5689,8.0286
10,50000,26.3602,20.7076,8.5337,6.3619
11,55000,26.1157,23.4062,7.8180,8.5280
12,60000,23.2729,25.8622,6.1794,11.0184
13,65000,23.5261,25.0693,7.1511,9.3295
14,70000,22.9422,26.2386,7.4185,7.0926
15,75000,23.1210,28.4874,7.3275,9.4166
16,80000,22.5640,29.5820,7.2606,8.1458
17,85000,22.8879,24.2506,8.2482,3.5691
18,90000,25.7535,17.9592,9.1840,1.4388
19,95000,24.5842,13.4654,5.7567,0.7374
20,100000,24.2385,7.7457,4.8138,0.9204
21,105000,23.6731,1.9200,5.9685,0.5333
22,110000,25.0174,-1.7746,6.0985,0.2309
23,115000,25.4610,-0.0727,4.9780,0.8684
24,120000,25.7417,0.7962,6.7561,1.1181
25,125000,30.8301,3.7875,13.2123,2.2859
26,130000,31.0139,7.3556,8.6212,3.7411
27,135000,33.3944,10.1508,11.4990,5.3893
28,140000,30.6863,9.9515,8.1942,1.8911
29,145000,30.5521,12.1242,8.1479,4.4604
30,150000,31.4685,11.6427,9.4571,2.9053
31,155000,30.4836,10.5283,8.1530,3.4029
32,160000,34.8944,8.2912,8.8231,3.1090
33,165000,37.3133,8.0829,10.3462,5.3194
34,170000,37.7648,10.0071,9.1472,3.9624
35,175000,37.6392,6.8779,9.2895,0.8784
36,180000,36.1446,8.5453,8.1897,2.5115
37,185000,35.0609,8.0452,6.3191,2.5625
38,190000,32.3877,6.5705,8.3173,0.8612
39,195000,30.2671,6.6865,7.8803,1.4296
40,200000,30.0346,14.4445,9.0748,5.6720
41,205000,29.1397,16.7500,10.9735,4.2568
42,210000,30.3087,17.8464,12.5711,4.7607
43,215000,30.3467,19.4005,8.0141,4.2596
44,220000,32.2003,19.9345,14.0388,4.0232
45,225000,34.9924,20.3630,11.0804,4.4174
46,230000,35.4190,16.0518,10.2223,5.6437
47,235000,35.3987,17.2494,8.8465,5.4901
48,240000,36.3297,17.5215,12.3465,5.6810
49,245000,41.2674,18.6702,9.8099,5.9164
50,250000,43.7133,18.4145,9.4024,4.3056
51,255000,42.5567,20.0382,8.5106,4.8167
52,260000,42.9842,18.8108,9.2559,4.5659
53,265000,44.8138,18.1163,8.8102,5.1929
54,270000,42.1862,16.8850,8.3865,3.4026
55,275000,39.7158,16.2144,8.8699,6.3240
56,280000,38.5221,17.4635,8.1108,5.1923
57,285000,39.5987,17.0409,8.5895,5.0284
58,290000,39.3101,13.6080,9.5066,1.6222
59,295000,40.0784,12.4189,10.5933,1.9907
60,300000,37.9071,13.7323,8.9055,2.8845
