step,sat_id,plane_id,true_anomaly_deg,altitude_km,ecef_x_km,ecef_y_km,ecef_z_km,battery_pct,fuel_pct,temp_c,roll_deg,pitch_deg,yaw_deg,fault_wheel,fault_thruster,fault_sensor,in_safe_mode,in_recovery,eclipse,gs_los,action_thrust,action_roll_tq,action_pitch_tq,action_yaw_tq,reward,health_score
1,0,0,355.4797,550.0,6899.0879,-336.2428,-435.6228,100.0,99.97,24.93,359.884,359.999,359.987,0,0,0,0,0,0,0,-0.5865,-0.2319,-0.002,-0.026,1.05,1.0
1,1,0,67.7235,550.0,2628.0484,3851.2589,5114.8223,100.0,99.88,24.93,359.894,359.964,0.009,0,0,0,0,0,0,0,-0.6075,-0.2117,-0.0721,0.0181,0.4794,1.0
1,2,0,149.3798,550.0,-5953.4936,2128.3915,2815.3338,100.0,99.88,24.94,359.929,359.938,0.064,0,0,0,0,0,0,0,-1.0,-0.1415,-0.1232,0.1281,0.6352,1.0
1,3,0,215.543,550.0,-5634.2716,-2414.7527,-3213.1284,100.0,99.88,24.93,359.893,359.981,359.997,0,0,0,0,0,0,0,-0.6233,-0.2139,-0.0388,-0.0052,0.8012,1.0
1,4,0,285.4408,550.0,1838.0164,-4016.9534,-5327.8534,100.0,99.97,24.93,359.873,359.995,0.003,0,0,0,0,0,0,1,-0.5764,-0.2544,-0.01,0.0052,1.35,1.0
1,5,1,37.3265,550.0,-2519.2066,5506.4482,3351.5471,100.0,99.88,24.93,359.932,359.936,0.041,0,0,0,0,0,0,0,-0.9646,-0.1364,-0.1277,0.082,1.05,1.0
1,6,1,108.6644,550.0,-3948.6725,-2210.3189,5236.6704,98.09,99.88,23.73,359.927,359.943,0.037,0,0,0,0,0,1,0,-0.9697,-0.1459,-0.1144,0.0733,1.05,1.0
1,7,1,182.9411,550.0,205.7194,-6912.1262,-283.605,100.0,99.97,24.94,359.882,359.974,0.042,0,1,0,0,0,0,0,-0.801,-0.2368,-0.0511,0.0842,0.8273,0.5
1,8,1,257.8285,550.0,4069.8427,-1463.9202,-5403.1064,100.0,99.88,24.94,359.923,359.95,0.061,0,0,0,0,0,0,0,-1.0,-0.1543,-0.0996,0.1226,0.8188,1.0
1,9,1,327.528,550.0,2242.9722,5836.3397,-2967.5672,100.0,99.88,24.91,0.0,359.974,0.044,1,0,0,0,0,0,0,-1.0,-0.1712,-0.0527,0.0871,0.8399,0.5
2,0,0,355.8137,550.0,6901.8128,-320.0183,-403.4967,100.0,99.85,27.35,359.673,359.983,0.005,0,0,0,0,0,0,0,-0.8221,-0.1907,-0.0303,0.063,1.05,1.0
2,1,0,67.493,550.0,2658.2195,3841.7772,5106.3547,100.0,99.76,27.36,359.713,359.897,0.037,0,0,0,0,0,0,0,-0.7393,-0.1514,-0.0616,0.0371,0.4557,1.0
2,2,0,148.9431,550.0,-5923.9291,2162.4645,2851.4999,100.0,99.76,27.38,359.798,359.826,0.204,0,0,0,0,0,0,0,-1.0,-0.1211,-0.1008,0.1526,0.68,1.0
2,3,0,215.5289,550.0,-5638.0472,-2407.4006,-3212.0224,100.0,99.76,27.35,359.725,359.922,0.022,0,0,0,0,0,0,0,-0.9103,-0.1228,-0.0785,0.0547,0.8456,1.0
2,4,0,286.1096,550.0,1911.1543,-4006.0366,-5310.3108,100.0,99.94,27.38,359.559,0.057,0.037,0,0,0,0,0,0,1,-0.4277,-0.3725,0.1333,0.0643,0.8352,1.0
2,5,1,37.0332,550.0,-2495.8016,5530.7271,3329.0048,100.0,99.76,27.37,359.816,359.813,0.14,0,0,0,0,0,0,0,-1.0,-0.0961,-0.119,0.1164,1.05,1.0
2,6,1,108.3599,550.0,-3958.1718,-2170.8643,5245.9952,96.22,99.76,24.95,359.81,359.856,0.092,0,0,0,0,0,1,0,-0.7858,-0.0889,-0.0584,0.0382,0.8209,1.0
2,7,1,183.6006,550.0,245.5992,-6907.9252,-347.1198,100.0,99.94,27.38,359.676,359.901,0.179,0,1,0,0,0,0,0,-1.0,-0.1746,-0.0968,0.1889,0.8386,0.5
2,8,1,257.7111,550.0,4066.3071,-1482.4821,-5400.7069,100.0,99.76,27.38,359.78,359.853,0.204,0,0,0,0,0,0,0,-1.0,-0.1315,-0.0956,0.1626,0.8408,1.0
2,9,1,327.169,550.0,2271.6384,5810.2951,-2996.7268,100.0,99.76,27.32,0.0,359.942,0.063,1,0,0,0,0,0,0,-0.6401,-0.1461,-0.0099,-0.0476,0.8432,0.5
3,0,0,355.6551,550.0,6899.9736,-339.4884,-418.751,100.0,99.73,29.79,359.342,359.985,0.045,0,0,0,0,0,0,0,-0.7041,-0.2384,0.0356,0.0416,1.05,1.0
3,1,0,66.6474,550.0,2756.6547,3814.4238,5074.5706,100.0,99.64,29.77,359.461,359.815,0.068,0,0,0,0,0,0,0,-0.739,-0.1394,-0.0302,0.0074,0.4441,1.0
3,2,0,147.8265,550.0,-5850.4773,2238.1952,2943.236,100.0,99.64,29.81,359.608,359.679,0.41,0,0,0,0,0,0,0,-1.0,-0.1172,-0.0708,0.1306,0.7351,1.0
