step,sat1_reward,sat2_reward,sat1_cumulative_reward,sat2_cumulative_reward
1,0.2097,0.2097,0.2097,0.2097
2,0.2115,0.2115,0.4212,0.4212
3,0.2133,0.2133,0.6345,0.6345
4,0.2215,0.2215,0.8560,0.8560
5,0.2244,0.2244,1.0804,1.0804
6,0.2273,0.2273,1.3077,1.3077
7,0.2302,0.2302,1.5379,1.5379
8,0.2331,0.2331,1.7710,1.7710
9,0.2360,0.2360,2.0070,2.0070
10,0.2389,0.2389,2.2458,2.2458
11,0.2418,0.2418,2.4876,2.4876
12,0.2446,0.2446,2.7322,2.7322
13,0.2475,0.2475,2.9798,2.9798
14,0.2504,0.2504,3.2302,3.2302
15,0.2533,0.2533,3.4835,3.4835
16,0.2562,0.2562,3.7397,3.7397
17,0.2591,0.2591,3.9988,3.9988
18,0.2620,0.2620,4.2608,4.2608
19,0.2649,0.2649,4.5257,4.5257
20,0.2678,0.2678,4.7935,4.7935
21,0.2707,0.2707,5.0641,5.0641
22,0.2736,0.2736,5.3377,5.3377
23,0.2764,0.2764,5.6141,5.6141
24,0.2793,0.2793,5.8934,5.8934
25,0.2822,0.2822,6.1757,6.1757
26,0.2851,0.2851,6.4608,6.4608
27,0.2880,0.2880,6.7488,6.7488
28,0.2909,0.2909,7.0397,7.0397
29,0.2938,0.2938,7.3335,7.3335
30,0.2967,0.2967,7.6302,7.6302
31,0.2996,0.2996,7.9297,7.9297
32,0.3025,0.3025,8.2322,8.2322
33,0.3054,0.3054,8.5376,8.5376
34,0.3082,0.3082,8.8458,8.8458
35,0.3111,0.3111,9.1569,9.1569
36,0.3140,0.3140,9.4710,9.4710
37,0.3169,0.3169,9.7879,9.7879
38,0.3198,0.3198,10.1077,10.1077
39,0.3227,0.3227,10.4304,10.4304
40,0.3256,0.3256,10.7560,10.7560
41,0.3285,0.3285,11.0845,11.0845
42,0.3314,0.3314,11.4158,11.4158
43,0.3343,0.3343,11.7501,11.7501
44,0.3372,0.3372,12.0872,12.0872
45,0.3400,0.3400,12.4273,12.4273
46,0.3429,0.3429,12.7702,12.7702
47,0.3458,0.3458,13.1161,13.1161
48,0.3487,0.3487,13.4648,13.4648
49,0.3516,0.3516,13.8164,13.8164
50,0.3545,0.3545,14.1709,14.1709
51,0.3574,0.3574,14.5283,14.5283
52,0.3603,0.3603,14.8885,14.8885
53,0.3632,0.3632,15.2517,15.2517
54,0.3661,0.3661,15.6178,15.6178
55,0.3690,0.3690,15.9867,15.9867
56,0.3718,0.3718,16.3586,16.3586
57,0.3747,0.3747,16.7333,16.7333
58,0.3776,0.3776,17.1109,17.1109
59,0.3805,0.3805,17.4915,17.4915
60,0.3834,0.3834,17.8749,17.8749
