cycle,steps_completed,sat1_reward_mean,sat2_reward_mean,sat1_V_estimate,sat2_V_estimate
1,5000,55.5074,54.4523,4.5783,2.1543
2,10000,219.8023,61.4647,12.9362,0.4898
3,15000,219.8023,68.4090,5.6555,3.3005
4,20000,219.8023,68.4090,5.0917,3.9258
5,25000,219.8023,83.7212,7.2796,11.9906
6,30000,219.8023,123.0776,9.8566,17.5980
7,35000,219.8023,124.1478,9.1977,17.8165
8,40000,125.7147,127.6303,12.6095,19.9620
9,45000,137.8626,174.3152,17.6700,19.7108
10,50000,137.8626,217.7180,12.9734,22.1285
11,55000,146.1779,257.4835,16.7236,24.1690
12,60000,210.6276,257.4835,18.3610,19.4305
13,65000,212.9830,257.4835,21.1064,18.6080
14,70000,240.4177,272.7098,25.0416,18.5507
15,75000,305.9695,291.5318,26.5647,21.0583
16,80000,305.9695,291.5318,30.4736,23.5553
17,85000,315.8507,291.5318,29.1191,24.8859
18,90000,315.8507,310.3477,28.0014,23.6311
19,95000,315.8507,310.3477,31.1107,20.3357
20,100000,323.6318,357.0201,37.1850,22.1357
21,105000,323.6318,357.0201,33.2733,28.7594
22,110000,323.6318,357.0201,38.5945,27.2762
23,115000,323.6318,357.0201,37.8133,25.1327
24,120000,323.6318,357.0201,36.5366,24.8845
25,125000,323.6318,357.0201,27.1512,26.3879
26,130000,300.6175,307.0208,30.1161,21.7426
27,135000,300.6175,307.0208,27.1182,23.7919
28,140000,300.6175,307.0208,25.8489,11.7613
29,145000,300.6175,307.0208,26.2123,9.5467
30,150000,289.6555,307.0208,21.8855,10.8892
31,155000,289.6555,174.4800,23.4578,14.9719
32,160000,289.6555,174.4800,25.3216,13.5917
33,165000,289.6555,119.2677,30.0780,19.8865
34,170000,234.8824,275.9598,34.6611,20.3583
35,175000,229.7482,275.9598,32.9541,29.1801
36,180000,254.9762,285.7897,33.5906,36.6470
37,185000,254.9762,285.7897,35.1098,42.2492
38,190000,254.9762,326.0717,38.5621,39.5635
39,195000,254.9762,326.0717,27.0000,42.4838
40,200000,254.9762,326.0717,25.4438,37.2492
41,205000,254.9762,326.0717,24.7855,39.3767
42,210000,233.7363,326.0717,24.6227,37.9472
43,215000,237.4589,326.0717,23.8876,40.2024
44,220000,237.4589,303.4527,14.5995,29.2739
45,225000,237.4589,303.4527,17.3085,36.5826
46,230000,237.4589,256.3767,23.3899,33.8931
47,235000,237.4589,264.5176,25.3909,34.6591
48,240000,237.4589,269.3240,24.7871,32.9030
49,245000,221.0170,269.3240,16.4851,38.6343
50,250000,221.0170,269.3240,16.9717,29.2161
51,255000,217.3325,269.3240,18.6188,22.9201
52,260000,217.3325,269.3240,17.4840,24.0254
53,265000,216.1566,269.3240,22.5174,25.7706
54,270000,217.9698,262.6592,16.4986,23.8199
55,275000,261.7480,262.6592,16.0867,27.6744
56,280000,261.7480,262.6592,14.8291,26.9422
57,285000,261.7480,262.6592,10.7721,32.3469
58,290000,261.7480,229.8704,12.0567,32.1931
59,295000,261.7480,229.8704,12.3874,21.4257
60,300000,300.7730,254.1775,12.3604,34.0334
61,305000,300.7730,254.1775,14.0946,29.1097
62,310000,300.7730,254.1775,12.8546,29.4259
63,315000,300.7730,265.8530,12.4779,21.3991
64,320000,300.7730,265.8530,14.9110,28.2934
65,325000,300.7730,265.8530,11.0141,31.6317
66,330000,269.0127,265.8530,11.9572,26.2023
67,335000,269.0127,265.8530,10.6892,25.8607
68,340000,301.1490,265.8530,12.6366,21.9853
69,345000,326.2871,193.0019,18.3396,24.0141
70,350000,326.2871,193.9881,18.0940,20.4603
71,355000,326.2871,193.9881,22.9534,25.4940
72,360000,326.2871,211.9905,19.9445,19.3608
73,365000,326.2871,211.9905,20.8043,9.2750
74,370000,326.2871,271.7048,19.9043,20.9116
75,375000,282.5857,271.7048,21.4594,18.5890
76,380000,267.8552,287.7516,21.6658,17.2695
77,385000,267.8552,287.7516,22.0992,21.3453
78,390000,272.2980,287.7516,22.0734,27.6523
79,395000,272.2980,287.7516,16.4000,25.9569
80,400000,272.2980,287.7516,15.2984,22.8129
81,405000,272.2980,287.7516,8.2835,18.5864
82,410000,272.2980,248.9457,9.4716,21.4884
83,415000,272.2980,248.9457,16.0544,22.1511
84,420000,250.7740,248.9457,15.1374,17.9891
85,425000,225.9356,248.9457,13.2158,18.7325
86,430000,225.9356,248.9457,15.8986,25.9002
87,435000,225.9356,233.7562,13.5628,30.5970
88,440000,225.9356,233.7562,17.9161,19.2867
89,445000,225.9356,233.7562,20.2441,18.3522
90,450000,210.5334,233.7562,20.9197,12.5028
91,455000,210.5334,231.2712,19.1398,18.7334
92,460000,210.5334,231.2712,18.1844,18.3122
93,465000,210.5334,231.2712,16.1556,18.1061
94,470000,210.5334,231.2712,11.8709,19.3741
95,475000,195.7526,206.0433,12.3776,22.2281
96,480000,195.7526,206.0433,7.2359,19.8986
97,485000,188.2448,206.0433,8.4921,16.0678
98,490000,186.8070,200.9590,2.7456,17.2419
99,495000,174.7094,200.9590,7.3302,17.3574
100,500000,166.2136,200.9590,8.2225,19.2661
101,505000,144.0355,200.9590,10.9846,15.5380
102,510000,144.0355,213.9852,11.5800,18.1883
103,515000,189.4644,213.9852,13.2208,13.7925
104,520000,189.4644,213.9852,10.4969,17.2514
105,525000,189.4644,213.9852,9.9319,16.7740
106,530000,189.4644,213.9852,12.7471,12.3360
107,535000,189.4644,213.9852,12.7642,15.6938
108,540000,189.4644,208.6766,7.6772,12.5248
109,545000,185.1282,208.6766,8.2384,14.0718
110,550000,185.1282,203.8155,8.9847,16.5743
111,555000,194.1225,203.8155,10.9035,14.8753
112,560000,194.1225,203.8155,9.2338,14.8642
113,565000,194.1225,203.8155,12.8392,17.0946
114,570000,194.1225,203.8155,8.2878,9.5369
115,575000,194.1225,251.1738,7.7744,14.2268
116,580000,194.1225,251.1738,12.5075,13.9187
117,585000,191.7935,251.1738,11.7412,12.0739
118,590000,194.3704,251.1738,13.8027,9.8043
119,595000,194.3704,251.1738,7.4870,6.1944
120,600000,194.3704,251.1738,15.9082,13.3022
121,605000,194.3704,220.2541,7.8263,7.1341
122,610000,194.3704,193.7631,9.4211,14.4220
123,615000,211.8384,193.7631,15.0563,10.8429
124,620000,211.8384,193.7631,15.9396,16.3658
125,625000,211.8384,193.7631,7.8195,11.1541
126,630000,211.8384,179.1242,9.5913,8.8743
127,635000,213.3019,179.1242,17.7241,7.4030
128,640000,213.3019,220.5663,23.1145,12.7971
129,645000,213.3019,220.5663,22.6914,2.0587
130,650000,213.3019,220.5663,20.8692,10.6766
131,655000,213.3019,220.5663,17.1241,14.7198
132,660000,230.2853,220.5663,25.3388,11.4276
133,665000,234.6862,167.6659,23.3280,9.3003
134,670000,234.6862,167.6659,21.4234,13.5553
135,675000,234.6862,199.9864,15.9934,15.0043
136,680000,288.9440,199.9864,19.3945,5.2071
137,685000,288.9440,199.9864,12.1857,10.7504
138,690000,288.9440,199.9864,12.1121,-0.0323
139,695000,288.9440,199.9864,16.2066,6.7539
140,700000,288.9440,199.9864,19.4029,0.6302
141,705000,288.9440,172.6142,13.9667,4.9989
142,710000,204.6185,172.6142,18.4784,3.8558
143,715000,196.6174,188.3513,21.4145,13.8173
144,720000,261.1447,212.4556,26.1217,19.3767
145,725000,261.1447,213.1127,21.1684,18.3982
146,730000,277.8128,245.3861,23.3512,24.1899
147,735000,280.6153,245.3861,18.1678,8.5774
148,740000,280.6153,245.3861,25.3269,7.4821
149,745000,280.6153,245.3861,18.8602,10.5400
150,750000,280.6153,267.2276,24.4591,14.0106
151,755000,280.6153,267.2276,20.5052,17.1115
152,760000,280.6153,267.2276,21.8509,19.7538
153,765000,261.8801,267.2276,22.4735,12.8449
154,770000,262.4724,267.2276,24.4028,12.0216
155,775000,262.4724,267.2276,23.8610,10.7931
156,780000,262.4724,239.5780,20.8613,14.5761
157,785000,262.4724,239.5780,13.7941,14.2176
158,790000,262.4724,239.5780,10.1325,14.2845
159,795000,262.4724,239.5780,13.4264,13.9562
160,800000,219.5697,188.9327,12.3544,12.3775
161,805000,219.5697,212.9640,10.8329,20.1973
162,810000,204.4502,212.9640,15.9006,12.0897
163,815000,241.9116,212.9640,13.8211,17.6031
164,820000,241.9116,212.9640,7.8036,13.4918
165,825000,241.9116,217.8092,14.7031,14.3823
166,830000,241.9116,235.5895,17.6060,15.3578
167,835000,241.9116,235.5895,18.5985,15.5214
168,840000,200.4683,235.5895,19.8921,13.1324
169,845000,222.4191,235.5895,18.3114,20.5576
170,850000,222.4191,235.5895,20.0351,15.9015
171,855000,222.4191,235.5895,10.2714,12.5579
172,860000,222.4191,177.2278,17.2581,11.0942
173,865000,223.4628,177.2278,15.2683,11.7171
174,870000,223.4628,177.2278,16.4420,17.9704
175,875000,223.4628,177.2278,16.3795,8.1949
176,880000,275.3468,177.2278,14.8438,9.8722
177,885000,275.3468,200.1391,17.4222,12.4771
178,890000,275.3468,200.1391,16.9885,7.9625
179,895000,275.3468,216.5686,14.3836,15.9375
180,900000,275.3468,216.5686,19.8222,13.7816
181,905000,275.3468,216.5686,14.3301,19.8674
182,910000,260.7727,216.5686,12.0358,11.0375
183,915000,260.7727,216.5686,9.2554,13.4012
184,920000,260.7727,216.5686,15.7120,16.8557
185,925000,260.7727,192.0062,13.8114,20.4661
186,930000,260.7727,192.0062,18.9454,14.9847
187,935000,232.6446,191.5213,18.4328,10.5251
188,940000,235.9747,191.5213,21.6056,15.1120
189,945000,235.9747,207.1448,21.9956,18.4068
190,950000,235.9747,207.1448,20.6081,7.2933
191,955000,235.9747,207.1448,13.7513,18.5725
192,960000,306.0751,207.1448,23.1397,18.6855
193,965000,306.0751,207.1448,16.2386,15.7461
194,970000,306.0751,207.1448,19.8310,11.5326
195,975000,306.0751,237.9088,22.6997,12.2058
196,980000,306.0751,237.9088,26.2857,9.8789
197,985000,306.0751,237.9088,24.7110,12.9895
198,990000,253.5970,237.9088,31.2245,14.5840
199,995000,253.5970,237.9088,18.1402,23.0664
200,1000000,253.5970,237.9088,28.5800,13.3842
