step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
1,0.6207,1.0936,1.0196,0.7542,0.8927,1.1500,0.4271,0.8219,1.1000,1.1500
2,0.6265,1.0823,1.0232,0.7585,0.5889,1.1500,0.4257,0.8293,-8.9000,1.1500
3,0.6338,1.0714,1.0289,0.7620,0.5839,1.1500,0.4238,0.8376,1.0000,1.1500
4,0.6425,1.0607,1.0367,0.7650,0.5779,1.1500,0.4212,0.8469,1.0000,1.1500
5,0.6519,0.8503,0.8460,0.7675,0.5699,1.1500,0.4181,0.8571,1.0000,0.9417
6,0.6627,0.8392,0.8566,0.7693,0.5608,1.1500,0.4144,0.8681,1.0000,0.9292
7,0.6748,0.8275,0.8685,0.7707,0.5506,0.9462,0.4100,0.8800,1.0000,0.9154
8,0.6883,0.8151,0.8818,0.7715,0.4456,0.9403,0.4050,0.8928,1.0000,0.9003
9,0.7032,0.8020,0.8964,0.7719,0.4406,0.9342,0.3994,0.9063,1.0000,0.8839
10,0.7193,0.7881,0.9124,0.7718,0.4350,0.9279,0.3932,0.9214,1.0000,0.8663
11,0.7368,0.7735,0.9296,0.7713,0.4290,0.9216,0.3867,0.9381,1.0000,0.8473
12,0.7555,0.7580,0.9482,0.7704,0.4224,0.9151,0.3799,1.1500,1.0000,0.8270
13,0.7755,0.7417,1.1500,0.7692,0.4153,0.9087,0.3724,1.1500,1.0000,0.8054
14,0.7967,0.7245,1.1500,0.7676,0.4077,0.9023,0.3646,1.1500,1.0000,0.7825
15,0.8191,0.7063,1.1500,0.7656,0.3995,0.8960,0.3565,1.1500,1.0000,0.7583
16,0.8427,0.6872,1.1500,0.7634,0.3908,0.8898,0.3481,1.1500,1.0000,0.7328
17,0.8675,0.6672,1.1500,0.7608,0.3816,0.8838,0.3394,1.1500,1.0000,0.7060
18,0.8933,0.6461,1.1500,0.7580,0.3718,0.8780,0.3300,1.1500,0.7881,0.6779
19,0.9203,0.6239,1.1500,0.7549,0.3614,0.8725,0.3203,1.1500,0.7716,0.6485
20,0.9483,0.6007,1.1500,0.7517,0.3504,0.8673,0.3104,1.1500,0.7539,0.6179
21,1.1500,0.5764,0.9288,0.7482,0.3389,0.8625,0.3001,0.9282,0.7351,0.5859
22,1.1500,0.5509,0.8981,0.7445,0.3267,0.8582,0.2894,0.8980,0.7150,0.5526
23,1.1500,0.4397,0.8663,0.7406,0.3140,0.8543,0.2785,0.8665,0.5938,0.4372
24,1.1500,0.4286,0.8335,0.7366,0.3006,0.8510,0.2673,0.8338,0.6712,0.4229
25,1.1500,0.4170,0.7996,0.7324,0.2866,0.8484,0.2558,0.8000,0.6475,0.4080
26,1.1500,0.4049,0.7647,0.7281,0.2719,0.8463,0.2440,0.7650,0.6224,0.3926
27,0.9287,0.3923,0.7288,0.7237,0.2567,0.8450,0.2319,0.7289,0.5960,0.3768
28,0.8934,0.3792,0.6919,0.7191,0.2407,0.8444,0.2195,0.6918,0.5682,0.3604
29,0.8575,0.3656,0.6541,0.7145,0.2241,0.8447,0.2069,0.6536,0.5391,0.3435
30,0.8208,0.3514,0.6154,0.7098,0.2069,0.8459,0.1940,0.6143,0.5087,0.3261
31,0.7835,0.3368,0.5758,0.7050,0.1889,0.8479,0.1808,0.5741,0.4768,0.3083
