step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
1,1.0500,0.8810,0.5854,0.6968,-9.2063,0.6915,-9.0000,0.7234,-9.3188,0.6477
2,1.0500,1.0000,0.6273,0.6681,0.6859,0.6937,0.9000,0.7794,0.6080,0.6801
3,1.0500,-9.0000,0.6587,0.6067,0.6718,0.6665,0.9000,1.0500,0.6652,0.7166
4,1.0500,1.0000,0.6795,0.5125,0.6512,0.6099,0.6537,1.0500,0.9000,0.7574
5,1.0500,0.9000,0.6897,0.4342,0.6243,0.5239,0.5799,0.8420,0.9000,0.7950
6,1.0500,0.5834,0.7144,0.3904,0.5909,0.4334,0.4963,0.7364,0.5888,0.9052
7,0.8044,0.4420,0.7412,0.3436,0.5512,0.3841,0.4032,0.6245,0.4494,0.9094
8,0.7387,0.2953,0.8577,0.2937,0.5051,0.3322,0.3005,0.5063,0.3113,0.9094
9,0.6640,0.2339,0.8639,0.2406,0.4526,0.2796,0.2553,0.4228,0.2498,0.9094
10,0.5805,0.2726,0.8593,0.1880,0.3936,0.5262,0.2066,0.3705,0.1956,0.9094
11,0.4879,-9.7862,0.8530,0.1359,0.3281,0.4720,0.1541,0.3163,0.1419,0.9094
12,0.4270,0.1551,0.8451,0.0842,0.2825,0.1171,0.0984,0.2627,0.0888,0.9094
13,0.3352,-9.9010,0.8355,0.0000,0.2511,0.0114,0.0419,0.1595,0.0362,0.9094
14,0.2922,-0.0573,0.8242,0.0000,0.2170,0.0000,-0.0153,0.1069,-0.0159,0.8094
15,0.2453,0.0000,0.8110,0.0000,0.1804,0.0000,-0.0734,0.0549,-0.0674,0.8094
16,0.1947,-10.0000,0.7023,0.0000,0.1410,0.0000,-0.1000,0.0034,-0.1000,0.8094
17,0.1429,-0.1000,0.6979,0.0000,0.0990,0.0000,-0.1000,0.0000,-0.1000,0.8094
18,0.0870,0.0000,0.6979,0.0000,0.0542,0.0000,-0.1000,0.0000,-0.1000,0.8094
19,0.0271,-10.0000,0.6979,0.0000,0.0068,0.0000,-0.1000,0.0000,0.1000,0.8094
20,0.0000,0.0000,0.6479,0.0000,-0.0409,0.0000,-0.1000,0.0000,0.1000,0.7594
21,0.0000,-10.0000,0.6479,0.0000,-0.0882,0.0000,-0.1000,0.0000,-0.1000,0.7594
22,0.0000,-0.1000,0.6479,0.0000,-0.1000,0.0000,-0.1000,0.0000,-0.1000,0.7594
23,0.0000,0.0000,0.6479,0.0000,-0.1000,0.0000,-0.1000,0.0000,-0.1000,0.7594
24,0.0000,0.0000,0.7458,0.0000,-0.1000,0.0000,-0.1000,0.0000,0.1000,0.7594
25,0.0000,0.0000,0.7417,0.0000,-0.1000,0.0000,-0.1000,0.0000,0.1000,0.7594
26,-10.0000,0.0000,0.7356,-10.0000,-0.1000,-10.0000,-0.1000,-10.0000,0.1000,0.7594
27,-0.1000,0.0000,0.7273,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.1000,0.7596
28,-0.1000,0.0000,0.7177,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.7599
29,-0.1000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.7602
30,-0.1000,0.3930,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.7605
31,-0.1000,0.3303,0.0500,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.7608
32,-0.1000,0.2676,0.0500,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.7609
33,-0.1000,0.2047,0.0500,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-10.0000
34,0.1000,0.1417,0.0500,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.5502,-0.1000
35,0.1000,0.0787,0.0500,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.4483,-0.1000
36,0.1000,0.0183,0.0500,-0.1000,-0.1000,-0.1000,-0.1000,0.1000,0.3477,-0.1000
37,0.1000,0.0000,0.0500,-0.1000,-0.1000,-0.1000,-0.1000,0.1000,0.2794,-0.1000
38,-0.1000,0.0000,0.0500,-0.1000,-0.1000,-0.1000,-0.1000,0.1000,0.2403,-0.1000
39,-0.1000,0.0000,0.0500,-0.1000,-0.1000,-0.1000,-0.1000,0.1000,0.2017,-0.1000
40,-0.1000,0.0000,0.0500,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.1636,-0.1000
41,-0.1000,0.0000,0.0500,-0.1000,-0.1000,-0.1000,-0.0967,0.1000,0.1261,-0.1000
